translation_x,translation_y,frame_numbers
4.283033231791684e-10,5.7349699574111756e-11,frame_000000
-0.0636720205428796,0.0014165444328293,frame_000001
-0.1273440415140626,0.0028330888083089,frame_000002
-0.1910160624852455,0.0042496331837885,frame_000003
-0.2546880834564285,0.0056661775592682,frame_000004
-0.3183601044276115,0.0070827219347478,frame_000005
-0.3809887603412985,0.0083019619113718,frame_000006
-0.4296791292048475,0.006885417482771,frame_000007
-0.4783694980683965,0.0054688730541701,frame_000008
-0.5270598669319456,0.0040523286255693,frame_000009
-0.5757502357954947,0.0026357841969684,frame_000010
-0.6244406046590436,0.0012192397683675,frame_000011
-0.670522560954625,-0.0003946091058609,frame_000012
-0.7004858652276371,-0.0032276982723014,frame_000013
-0.7304491695006491,-0.0060607874387418,frame_000014
-0.7604124737736611,-0.0088938766051823,frame_000015
-0.7903757780466731,-0.0117269657716228,frame_000016
-0.8203390823196851,-0.0145600549380633,frame_000017
-0.848346077156845,-0.017393144106557,frame_000018
-0.8689458490873164,-0.020226233282825,frame_000019
-0.8895456210177879,-0.023059322459093,frame_000020
-0.9101453929482594,-0.0258924116353609,frame_000021
-0.9307451648787308,-0.0287255008116289,frame_000022
-0.9513449368092024,-0.0315585899878969,frame_000023
-0.9698579785584732,-0.0343916792044324,frame_000024
-0.982966924197456,-0.0372247685252504,frame_000025
-0.9960758698364388,-0.0400578578460685,frame_000026
-1.0091848154754215,-0.0428909471668865,frame_000027
-1.022293761114404,-0.0457240364877045,frame_000028
-1.0354027067533869,-0.0485571258085226,frame_000029
-1.0485116523117095,-0.0518834761824031,frame_000030
-1.061620597719054,-0.0561331100658623,frame_000031
-1.0747295431263986,-0.0603827439493215,frame_000032
-1.0878384885337429,-0.0646323778327807,frame_000033
-1.1009474339410872,-0.0688820117162399,frame_000034
-1.1140563793484315,-0.0731316455996991,frame_000035
-1.125600276967552,-0.0767893662336983,frame_000036
-1.1349638088646166,-0.0796224555885354,frame_000037
-1.1443273407616812,-0.0824555449433726,frame_000038
-1.153690872658746,-0.0852886342982097,frame_000039
-1.1630544045558109,-0.0881217236530468,frame_000040
-1.1724179364528753,-0.0909548130078839,frame_000041
-1.18178146843,-0.094478467872767,frame_000042
-1.1911450004912902,-0.098728101863596,frame_000043
-1.2005085325525806,-0.102977735854425,frame_000044
-1.209872064613871,-0.1072273698452539,frame_000045
-1.2192355966751611,-0.1114770038360829,frame_000046
-1.2285991287364515,-0.1157266378269118,frame_000047
-1.2379626606323284,-0.1199762717870902,frame_000048
-1.2473261923967225,-0.1242259057229052,frame_000049
-1.2566897241611166,-0.1284755396587202,frame_000050
-1.2660532559255109,-0.1327251735945353,frame_000051
-1.2754167876899047,-0.1369748075303504,frame_000052
-1.2847803194542988,-0.1412244414661654,frame_000053
-1.292970065268608,-0.1454740754080578,frame_000054
-1.3004608901040915,-0.1497237093535689,frame_000055
-1.3079517149395756,-0.1539733432990799,frame_000056
-1.315442539775059,-0.158222977244591,frame_000057
-1.322933364610543,-0.1624726111901021,frame_000058
-1.3304241894460267,-0.1667222451356132,frame_000059
-1.3392192204088542,-0.1709718791329096,frame_000060
-1.3485827514784725,-0.175221513152779,frame_000061
-1.3579462825480908,-0.1794711471726484,frame_000062
-1.367309813617709,-0.1837207811925179,frame_000063
-1.3766733446873278,-0.1879704152123873,frame_000064
-1.386036875756946,-0.1922200492322567,frame_000065
-1.3954004066886545,-0.1964696832556402,frame_000066
-1.40476393757825,-0.2007193172800966,frame_000067
-1.4141274684678455,-0.204968951304553,frame_000068
-1.423490999357441,-0.2092185853290094,frame_000069
-1.4328545302470368,-0.2134682193534658,frame_000070
-1.4422180611366322,-0.2177178533779222,frame_000071
-1.450016544707781,-0.2219674873376793,frame_000072
-1.4575073694043632,-0.2262171212847178,frame_000073
-1.4649981941009456,-0.2304667552317563,frame_000074
-1.472489018797528,-0.2347163891787947,frame_000075
-1.4799798434941105,-0.2389660231258332,frame_000076
-1.4874706681906924,-0.2432156570728717,frame_000077
-1.496656960047338,-0.247465291123309,frame_000078
-1.506020490088369,-0.2517149251845553,frame_000079
-1.5153840201294,-0.2559645592458015,frame_000080
-1.5247475501704308,-0.2602141933070478,frame_000081
-1.5341110802114617,-0.264463827368294,frame_000082
-1.5434746102524928,-0.2687134614295403,frame_000083
-1.5510122519498832,-0.2729630953557028,frame_000084
-1.558503075997437,-0.2772127292784017,frame_000085
-1.5659939000449905,-0.2814623632011006,frame_000086
-1.573484724092544,-0.2857119971237994,frame_000087
-1.5809755481400978,-0.2899616310464982,frame_000088
-1.588549975137394,-0.2945906965786653,frame_000089
-1.59791350525918,-0.3073395985534491,frame_000090
-1.6072770353809658,-0.320088500528233,frame_000091
